city,service_slug,keyword,search_volume,competition,competition_index,cpc_eur,low_top_of_page_bid,high_top_of_page_bid,monthly_searches_avg_12m
basel,google-analytics-consultancy,Google Analytics Basel,,,,,,,
basel,google-analytics-consultancy,GA4 Beratung Basel,,,,,,,
basel,performance-web-development,Webentwicklung Basel,20,LOW,9,,5,9.18,20.8
basel,performance-web-development,Webagentur Basel,390,MEDIUM,53,5.35,1.88,5.32,405.0
basel,roi-reporting-transparency,Marketing Reporting Basel,,,,,,,
basel,__generic__,SEO Agentur Basel,210,LOW,6,9.72,4.64,12.56,221.7
basel,__generic__,SEO Beratung Basel,20,LOW,15,,4.91,10,18.3
basel,__generic__,Online Marketing Basel,70,LOW,22,16.12,2.05,8.5,68.3
basel,__generic__,Online Marketing Agentur Basel,40,LOW,22,9.81,4.2,10.74,36.7
basel,__generic__,Digitalagentur Basel,70,LOW,30,2.95,1.65,5.73,66.7
basel,__generic__,Marketing Agentur Basel,110,MEDIUM,54,6.35,2.25,6.56,112.5
zuerich,ai-search-optimization,KI Suchoptimierung Zürich,,,,,,,
zuerich,ai-search-optimization,AI SEO Zürich,,,,,,,
zuerich,ai-search-optimization,ChatGPT SEO Zürich,,,,,,,
zuerich,technical-seo-audit,Technisches SEO Audit Zürich,,,,,,,
zuerich,technical-seo-audit,SEO Audit Zürich,,,,,,,
zuerich,technical-seo-audit,SEO Check Zürich,,,,,,,
zuerich,local-seo-consulting,Lokale SEO Zürich,,,,,,,
zuerich,local-seo-consulting,Local SEO Zürich,10,HIGH,100,,,,9.2
zuerich,local-seo-consulting,SEO Berater Zürich,70,LOW,27,,4.76,12.13,63.3
zuerich,performance-ads-management,Performance Marketing Zürich,10,HIGH,96,,5.56,27.9,10.8
zuerich,performance-ads-management,Performance Ads Zürich,,,,,,,
zuerich,google-ads-management,Google Ads Zürich,50,LOW,4,41.43,12.03,19.01,52.5
zuerich,google-ads-management,Google Ads Agentur Zürich,140,LOW,12,81.7,19.67,30.78,129.2
zuerich,google-ads-management,AdWords Zürich,10,HIGH,100,,,,5.0
zuerich,google-ads-audit,Google Ads Audit Zürich,,,,,,,
zuerich,google-ads-audit,Google Ads Check Zürich,,,,,,,
zuerich,paid-social-strategy,Paid Social Zürich,,,,,,,
zuerich,paid-social-strategy,LinkedIn Ads Zürich,,,,,,,
zuerich,paid-social-strategy,Meta Ads Zürich,,,,,,,
zuerich,digital-pr-strategy,Digital PR Zürich,,,,,,,
zuerich,digital-pr-strategy,PR Agentur Zürich,110,MEDIUM,52,6.41,2.69,7.06,116.7
zuerich,reactive-pr,Reaktive PR Zürich,,,,,,,
zuerich,authority-link-building,Linkaufbau Zürich,,,,,,,
zuerich,authority-link-building,Backlinks Zürich,10,LOW,0,,,,3.3
zuerich,authority-link-building,Link Building Zürich,,,,,,,
zuerich,content-marketing,Content Marketing Zürich,20,LOW,12,,,,26.7
zuerich,content-marketing,Content Agentur Zürich,10,MEDIUM,51,4.71,2.32,5.57,15.0
zuerich,seo-copywriting,SEO Texte Zürich,,,,,,,
zuerich,seo-copywriting,SEO Texter Zürich,10,,,,,,1.7
zuerich,copywriting-audit,Text Audit Zürich,,,,,,,
zuerich,copywriting-audit,Content Audit Zürich,,,,,,,
zuerich,audience-persona-mapping,Zielgruppenanalyse Zürich,,,,,,,
zuerich,audience-persona-mapping,Persona Analyse Zürich,,,,,,,
zuerich,technical-web-design,Webdesign Zürich,1000,LOW,29,15.24,5.51,10.75,1021.7
zuerich,technical-web-design,Webdesign Agentur Zürich,260,LOW,17,13.83,5.66,11.03,274.2
zuerich,google-analytics-consultancy,Google Analytics Zürich,,,,,,,
zuerich,google-analytics-consultancy,GA4 Beratung Zürich,,,,,,,
zuerich,performance-web-development,Webentwicklung Zürich,110,LOW,23,11.38,2.9,11.27,109.2
zuerich,performance-web-development,Webagentur Zürich,1300,MEDIUM,35,12.9,3.65,22.51,1313.3
zuerich,roi-reporting-transparency,Marketing Reporting Zürich,,,,,,,
zuerich,__generic__,SEO Agentur Zürich,720,LOW,24,27.59,7.95,45.76,654.2
zuerich,__generic__,SEO Beratung Zürich,70,LOW,27,,4.76,12.13,63.3
zuerich,__generic__,Online Marketing Zürich,210,LOW,6,20.1,7.01,19.69,203.3
zuerich,__generic__,Online Marketing Agentur Zürich,320,LOW,11,23.87,3.54,40,341.7
zuerich,__generic__,Digitalagentur Zürich,90,MEDIUM,46,11.11,3.81,10.2,89.2
zuerich,__generic__,Marketing Agentur Zürich,590,MEDIUM,53,9.4,3.07,10.55,550.0
bern,ai-search-optimization,KI Suchoptimierung Bern,,,,,,,
bern,ai-search-optimization,AI SEO Bern,,,,,,,
bern,ai-search-optimization,ChatGPT SEO Bern,,,,,,,
bern,technical-seo-audit,Technisches SEO Audit Bern,,,,,,,
bern,technical-seo-audit,SEO Audit Bern,,,,,,,
bern,technical-seo-audit,SEO Check Bern,,,,,,,
bern,local-seo-consulting,Lokale SEO Bern,,,,,,,
bern,local-seo-consulting,Local SEO Bern,,,,,,,
bern,local-seo-consulting,SEO Berater Bern,,,,,,,
bern,performance-ads-management,Performance Marketing Bern,10,HIGH,86,,,,5.0
bern,performance-ads-management,Performance Ads Bern,,,,,,,
bern,google-ads-management,Google Ads Bern,10,MEDIUM,57,22.49,8.98,20.61,12.5
bern,google-ads-management,Google Ads Agentur Bern,10,MEDIUM,45,28.9,9.13,20.33,16.7
bern,google-ads-management,AdWords Bern,10,,,,,,3.3
bern,google-ads-audit,Google Ads Audit Bern,,,,,,,
bern,google-ads-audit,Google Ads Check Bern,,,,,,,
bern,paid-social-strategy,Paid Social Bern,,,,,,,
bern,paid-social-strategy,LinkedIn Ads Bern,,,,,,,
bern,paid-social-strategy,Meta Ads Bern,,,,,,,
bern,digital-pr-strategy,Digital PR Bern,,,,,,,
bern,digital-pr-strategy,PR Agentur Bern,30,MEDIUM,44,3.08,1.55,3.85,29.2
bern,reactive-pr,Reaktive PR Bern,,,,,,,
bern,authority-link-building,Linkaufbau Bern,,,,,,,
bern,authority-link-building,Backlinks Bern,,,,,,,
bern,authority-link-building,Link Building Bern,,,,,,,
bern,content-marketing,Content Marketing Bern,10,LOW,0,,,,6.7
bern,content-marketing,Content Agentur Bern,,,,,,,
bern,seo-copywriting,SEO Texte Bern,,,,,,,
bern,seo-copywriting,SEO Texter Bern,,,,,,,
bern,copywriting-audit,Text Audit Bern,,,,,,,
bern,copywriting-audit,Content Audit Bern,,,,,,,
bern,audience-persona-mapping,Zielgruppenanalyse Bern,,,,,,,
bern,audience-persona-mapping,Persona Analyse Bern,,,,,,,
bern,technical-web-design,Webdesign Bern,590,MEDIUM,58,9.67,3.22,10.31,556.7
bern,technical-web-design,Webdesign Agentur Bern,140,LOW,9,11.66,3.46,7.68,135.8
bern,google-analytics-consultancy,Google Analytics Bern,,,,,,,
bern,google-analytics-consultancy,GA4 Beratung Bern,,,,,,,
bern,performance-web-development,Webentwicklung Bern,20,LOW,22,,7.71,11.47,24.2
bern,performance-web-development,Webagentur Bern,590,MEDIUM,45,5.66,2.1,6.73,539.2
bern,roi-reporting-transparency,Marketing Reporting Bern,,,,,,,
bern,__generic__,SEO Agentur Bern,170,LOW,5,7.45,3.73,11.61,176.7
bern,__generic__,SEO Beratung Bern,10,,,,,,5.8
bern,__generic__,Online Marketing Bern,50,MEDIUM,46,18.36,3.7,14.57,43.3
bern,__generic__,Online Marketing Agentur Bern,70,LOW,24,5.03,2.83,12.63,67.5
bern,__generic__,Digitalagentur Bern,50,LOW,13,,,,45.8
bern,__generic__,Marketing Agentur Bern,210,MEDIUM,38,7.27,2.33,9.2,213.3
